Artist,Name,Date,ID,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
Seeing Double,Take It Or Leave It,2022-12-04,0dlDVIewWjpSsHXZFdRi7f,0.51,0.633,7,-8.675,0.0587,0.287,0,0.165,0.791,92.056,161087
Foresight,The Room Is Filled With People That Love You,2022-11-26,1TeKvnR9Xkdh9KaqR4X2Od,0.557,0.831,11,-10.403,0.0667,0.624,0.0197,0.0976,0.507,141.219,231115
Jake Wesley Rogers,Lavender Forever,2022-11-26,3LlvRrcCyEGfI88ztZQM5r,0.721,0.586,7,-5.477,0.0474,0.0141,0.000298,0.267,0.456,120.03,174719
Reina del Cid,Bernadette,2022-11-26,4NFhb4AOPBulDFgxyoXaLH,0.79,0.365,6,-10.55,0.0378,0.564,0.323,0.143,0.561,95.981,165027
Dirt Poor Robins,Babylon,2022-11-23,1gXrhZOunxvPwhlIVJ8KMS,0.6,0.773,9,-6.435,0.0864,0.444,2.16e-05,0.421,0.518,119.962,244754
The Greeting Committee,You've Got Me,2022-11-16,534uBUA3qVXAp1jLfK5tL1,0.63,0.634,1,-4.852,0.0252,0.294,0,0.328,0.63,99.026,219147
The Happy Fits,Little Words,2022-11-16,04hsupNh2hvlTgXSMkyc4T,0.34,0.221,2,-8.421,0.0343,0.805,0,0.112,0.0788,83.27,241520
Liam Kazar,Shoes Too Tight,2022-11-09,3MGPcc3h0xF08Qc4wh0Yh1,0.609,0.592,9,-6.016,0.162,0.559,0.000211,0.112,0.97,200.116,267543
Fever Dolls,Adeline,2022-11-03,7frWsGpayRZ0FuDzKnE3Ws,0.627,0.766,7,-3.459,0.0267,0.331,4.19e-05,0.257,0.813,109.86,160773
Back to Yours,Mallory,2022-10-28,4rszo7NQ3kohBSMVSg6RgV,0.437,0.623,8,-9.505,0.0339,0.0129,0.000384,0.115,0.778,142.302,206795
The Features,Lions,2022-10-28,5tvtEIjTi6iqutVC0Npdca,0.678,0.662,6,-6.636,0.025,0.15,3.01e-05,0.347,0.709,109.311,216800
Cain Culto,Witchyman,2022-10-26,0zWgZBHZfisqNN0m5pfYcJ,0.786,0.593,7,-9.83,0.0808,0.602,0.000166,0.138,0.873,148.043,176963
alt-J,Breezeblocks,2022-10-22,3n69hLUdIsSa1WlRmjMZlW,0.615,0.658,5,-7.299,0.0343,0.096,0.000911,0.205,0.293,150.093,227080
Melt,Shy,2022-10-19,2XxZIwXWl6eFmOBm4heq2N,0.333,0.806,1,-4.07,0.0977,0.0266,0.000145,0.127,0.487,169.659,220775
Nataly Dawn,Coffee Baby,2022-10-14,6TpdOnXKzbzalL98a4MmXx,0.76,0.4,7,-9.579,0.0362,0.544,0,0.113,0.57,104.942,187047
the bird and the bee,You're A Cad,2022-10-14,6iclmondrvCYR8eWOsr1Rd,0.702,0.717,9,-8.741,0.0747,0.476,0.000222,0.124,0.695,93.021,189653
Joywave,F.E.A.R.,2022-10-08,4YXkB2Ti8KBX8dgUnhLoNg,0.713,0.588,9,-5.063,0.0458,0.00189,0,0.124,0.788,101.007,181213
Liza Anne,Bummer Days,2022-10-05,5XgD3IJKhhChTDtoRzl2V6,0.692,0.673,8,-3.585,0.0323,0.54,0,0.165,0.703,99.652,157668
Sammy Rae & The Friends,Follow Me Like the Moon,2022-09-30,1lExr2fRER9uMrpIBqArSO,0.629,0.853,11,-5.043,0.0729,0.146,6.78e-05,0.176,0.679,108.119,261903
Sammy Rae & The Friends,Jackie Onassis,2022-09-30,2t034uMx7XDFSOEp48dXPI,0.477,0.556,1,-10.063,0.0613,0.196,0,0.0885,0.541,104.721,293143
Sammy Rae & The Friends,Flesh & Bone,2022-09-30,5a6FpH6vRxYdQeCZBcIUb7,0.632,0.534,2,-6.783,0.0847,0.505,0,0.077,0.825,145.807,267677
Sammy Rae & The Friends,Good Life,2022-09-28,6sOK9LnvTTj4E2ZGzhKTQo,0.429,0.798,3,-5.361,0.0836,0.537,0,0.0676,0.393,99.482,236000
Sammy Rae & The Friends,The Feeling,2022-09-28,0dmCos7GHCr5PRKp5LNGH7,0.716,0.708,5,-4.978,0.0712,0.523,0,0.0886,0.761,127.059,236213
Sammy Rae & The Friends,Kick It to Me,2022-09-28,6QZbDUZEgkwaVWROtWzjQ0,0.597,0.675,2,-6.431,0.0569,0.533,1.45e-05,0.168,0.823,160.057,387600
Sammy Rae & The Friends,Talk It Up,2022-09-28,7FQCZ5i5bmQ76LoGHyVcX0,0.524,0.733,7,-4.669,0.0938,0.593,0,0.0931,0.674,112.716,238480
Philip Glass,Glassworks: VI. Closing,2022-09-28,6nXArMkjtAdWNGr0jEUH5E,0.456,0.12,3,-23.206,0.0366,0.98,0.937,0.107,0.145,135.213,357600
Metric,Dead Disco,2022-09-11,5skHiyNrZ7i7hSMhz9jSTs,0.521,0.844,5,-6.8,0.0315,5.16e-05,0.0104,0.325,0.666,138.443,205533
Shayfer James,Ferryman,2022-09-05,0X5ZdxuhAv5s645Djbjv4V,0.789,0.687,7,-5.461,0.0621,0.0213,0,0.0632,0.77,125.051,184309
Sammy Rae & The Friends,If It All Goes South,2022-09-05,59Ifqne89u4pP1klfB6Ze5,0.293,0.84,6,-6.219,0.0861,0.0299,1.1e-06,0.436,0.473,87.184,290810
Metric,White Gold,2022-09-05,1211JDRtyl7SGsntY0s7xW,0.575,0.422,9,-9.011,0.0272,0.588,0.148,0.12,0.0854,93.698,249587
Metric,Raw Sugar,2022-09-05,3fL4TbxZ6Qgbjr4MPeTnvw,0.639,0.564,7,-7.112,0.0404,0.206,1.55e-05,0.306,0.531,179.977,218333
Metric,Grow Up and Blow Away,2022-09-05,6a1gCEK0WTfqsxS1Vdj1hs,0.427,0.694,11,-6.961,0.0288,0.0121,0.000458,0.0854,0.727,110.05,253147
Gin Wigmore,I Do,2022-09-05,4NxuyvVhzYREuVZib8mgSV,0.768,0.484,1,-7.598,0.131,0.143,9.38e-06,0.0631,0.8,138.139,247027
Gin Wigmore,New Revolution,2022-09-05,0Hdg5wNwAb2ywT6KJe1OJl,0.554,0.398,11,-8.012,0.03,0.00161,0.299,0.107,0.137,170.366,260853
Metric,Hustle Rose,2022-09-01,40j5X5DC7WMZOLSRo3pXFB,0.618,0.787,2,-9.19,0.0328,0.00445,0.432,0.199,0.386,114.118,333427
Gin Wigmore,Don't Stop,2022-08-28,1erDnUVgnPJPRKm9Ox2k7h,0.759,0.75,8,-3.86,0.0368,0.18,1.13e-05,0.0918,0.622,126.2,208040
Gin Wigmore,Oh My,2022-08-28,3GBll4nM0vShsLyfWfpMHJ,0.641,0.809,9,-5.524,0.0583,0.0192,0.0305,0.328,0.769,132.206,255973
Gin Wigmore,Written In The Water,2022-08-28,6TG7ganwluLbRhn8EyHawf,0.739,0.916,5,-2.624,0.195,0.112,2.5e-06,0.121,0.663,96.411,166480
Saint Motel,Move,2022-08-28,4vuJuTLFomqItDrn482nzV,0.638,0.819,10,-4.991,0.0643,0.0177,0,0.312,0.721,101.031,187893
Ellie Dixon,CEO of Watching Television,2022-08-28,17gWuupmHFGwJurct6ZncA,0.853,0.439,0,-8.255,0.161,0.543,0,0.109,0.693,109.862,215787
Ellie Dixon,Sucker,2022-08-28,42b6SkizciL2P8yGhaD6gX,0.813,0.464,4,-6.639,0.0455,0.373,0,0.31,0.671,120.023,185853
Ellie Dixon,Space Out!,2022-08-28,5Avmd3awxZBFLmma5sHGmG,0.751,0.502,1,-6.519,0.248,0.453,0,0.197,0.651,99.9,183573
Metric,Gimme Sympathy,2022-08-28,4z2xy1UYMu70xCkWudeL96,0.452,0.885,9,-6.159,0.0806,0.0093,0.000945,0.113,0.114,139.021,234587
Pixies,Where Is My Mind? - Remastered,2022-08-28,7wCmS9TTVUcIhRalDYFgPy,0.519,0.441,4,-14.178,0.0353,0.0204,0.000453,0.076,0.25,81.334,234973
David Bowie,Life on Mars? - 2015 Remaster,2022-08-28,3ZE3wv8V3w2T2f7nOCjV0N,0.445,0.384,10,-14.642,0.0417,0.635,7.74e-05,0.0539,0.216,123.295,235987
Metric,Love Is A Place,2022-08-28,3KyELsiO8Q6Iisw2mdGrhg,0.583,0.311,2,-12.996,0.0324,0.976,0.823,0.112,0.413,155.934,129293
Metric,On a Slow Night,2022-08-28,32iuAtvUv2rcl9121HxLkS,0.558,0.33,6,-10.552,0.0294,0.0788,0.00949,0.0878,0.187,140.201,276533
Barenaked Ladies,One Week,2022-08-26,29hBRadFZf9QTGRHZmxm65,0.702,0.898,9,-6.003,0.0373,0.00854,0.000154,0.0917,0.731,112.845,169760
Metric,Combat Baby,2022-08-26,7Eb5avO0Ut4p6hAGCaeYEk,0.649,0.914,9,-6.199,0.0455,0.00573,0.000165,0.0997,0.739,139.125,209760
Talking Heads,Psycho Killer - 2005 Remaster,2022-08-22,1i6N76fftMZhijOzFQ5ZtL,0.721,0.521,2,-8.123,0.0613,0.0708,0.00545,0.127,0.942,123.118,261413
Betcha,July,2022-08-17,2b0G006xcIUoqvRDDaCT8E,0.607,0.658,6,-5.552,0.0262,0.0103,0.0224,0.0537,0.567,99.983,207587
Anya Marina,All the Same to Me,2022-06-14,0RmAwe65K2lC8KUpoQFczm,0.533,0.674,6,-7.182,0.1,0.424,4.63e-06,0.126,0.883,198.258,189107
Saint Motel,For Elise,2022-06-10,6i40XRqEwHAnSxwZWasMRp,0.492,0.504,10,-6.322,0.0473,0.238,0,0.153,0.262,152.855,203333
Miki Fiki,Kicks,2022-06-07,70ydUOibvX17LirnIwbIUt,0.838,0.449,7,-10.095,0.0874,0.0889,0.00033,0.286,0.939,87.541,181000
Ellie Dixon,Green Grass,2022-05-29,0B9eQuY4CaPUhUkrgPJJox,0.702,0.463,8,-6.169,0.16,0.589,0,0.0689,0.724,74.897,185360
The Hush Sound,We Intertwined,2022-05-27,5ypWqYw34KK2BggUh4iSvP,0.642,0.683,8,-6.577,0.0264,0.0608,1.27e-06,0.147,0.704,96.517,197520
First to Eleven,Cooler Than Me,2022-05-27,3K9Ufv3vCGjb7dmAttiXrh,0.609,0.852,3,-6.914,0.0697,0.00304,1.11e-06,0.0674,0.514,130.054,212308
Miki Fiki,Stranger,2022-05-17,0No1Mcz6DJ9HlPAICTqI2v,0.646,0.561,9,-8.047,0.0559,0.0334,0,0.0802,0.452,95.002,231593
alt-J,Left Hand Free,2022-05-11,4iEOVEULZRvmzYSZY2ViKN,0.697,0.877,3,-4.465,0.0462,0.462,0.00943,0.083,0.802,101.99,173631
Gen Hoshino,Comedy,2022-05-10,5SuOikwiRyPMVoIQDJUgSV,0.676,0.461,1,-6.746,0.143,0.0322,1.01e-06,0.358,0.715,87.917,230667
Adam Melchor,Begin Again,2022-05-09,2p7YemMTF5HRnAeL139VxD,0.494,0.791,7,-5.371,0.0376,0.0234,0.0159,0.582,0.58,94.96,226408
Tai Verdes,Solamente,2022-05-03,4BMBpU3AbNPjsHk41S0uSl,0.659,0.641,1,-7.943,0.0944,0.44,0,0.157,0.728,85.027,134947
Felix Hagan & the Family,Delirium Tremendous,2022-05-03,0wffwRViqvZPRIgAfw1Oab,0.812,0.563,9,-7.476,0.0614,0.00265,0,0.113,0.964,132.998,185842
The Heydaze,New Religion,2022-04-18,4DZghpw50ZnO3ckfDuNkft,0.537,0.863,7,-4.46,0.0446,0.00201,0,0.201,0.484,97.02,203587
